metric,metric_label,mean_us-east-1_to_us-west-2,mean_us-west-2_to_us-east-1,mean_difference,pct_difference_vs_b,median_us-east-1_to_us-west-2,median_us-west-2_to_us-east-1,welch_t_stat,welch_p_value,mannwhitney_u_stat,mannwhitney_p_value,significant_at_0.05
avg_latency_ms,Average Latency (ms),56.62270454545454,56.40592146596858,0.21678307948595688,0.3843268115329855,55.3665,55.23,1.049317834375223,0.2945607489143753,31181.0,0.2591886997878685,False
min_latency_ms,Minimum Latency (ms),56.24292532467533,56.0273507853403,0.21557453933503012,0.38476661186599553,55.048500000000004,55.04,1.091227353621989,0.27571355330418146,29590.5,0.9104926170975762,False
max_latency_ms,Maximum Latency (ms),62.172496753246755,61.48393193717277,0.6885648160739848,1.1199101852783153,59.173500000000004,58.304,0.8414645908516117,0.400615676218127,32587.5,0.042695820023674974,False
jitter_ms,Jitter (ms),1.3020909090909092,1.221366492146597,0.0807244169443122,6.60935251321952,0.627,0.452,0.4695723399031123,0.6389407777421183,32446.0,0.05282906012641771,False
packet_loss_percent,Packet Loss (%),0.0,0.0,0.0,,0.0,0.0,,,29414.0,1.0,False
throughput_mbps,Throughput (Mbps),336.94805194805195,441.3821989528796,-104.43414700482765,-23.660706583225092,317.5,473.0,-11.93963192356252,1.9294750276265652e-28,13169.5,3.2022079629430177e-25,True
retransmissions,Retransmissions (count),657.9318181818181,458.8219895287958,199.1098286530223,43.39587752921465,604.0,127.0,3.4390009515332287,0.0006641393272865231,41280.0,3.278891817813931e-14,True
